n,density,symmetric,norm,method,solver,est,ref,rel_err,sec,ok,error,finite_err,finite_sec,comparable
494,0.05,False,1,hager,auto,12064.48404152036,427113.9645837782,0.9717534778960525,0.32771360501646996,True,,True,True,True
494,0.05,False,1,hager,lu,12064.48404152036,427113.9645837782,0.9717534778960525,0.12081235414370894,True,,True,True,True
494,0.05,False,1,hager,lsmr,771.9688214862018,427113.9645837782,0.9981925928780191,0.2283256477676332,True,,True,True,True
494,0.05,False,1,hager,cg,1732084197172.667,427113.9645837782,4055319.923212099,0.20087100705131888,True,,True,True,True
494,0.05,False,1,hager,gmres,37.416784991180144,427113.9645837782,0.999912396249962,0.3066157861612737,True,,True,True,True
494,0.05,False,1,hager,direct,12064.484041519803,427113.9645837782,0.9717534778960537,0.18049561465159059,True,,True,True,True
494,0.05,False,1,hager-higham,auto,12064.484041520358,427113.9645837782,0.9717534778960525,0.14735316717997193,True,,True,True,True
494,0.05,False,1,hager-higham,lu,12064.484041520358,427113.9645837782,0.9717534778960525,0.12752843694761395,True,,True,True,True
494,0.05,False,1,hager-higham,lsmr,771.9688210822574,427113.9645837782,0.9981925928789649,0.3795161619782448,True,,True,True,True
494,0.05,False,1,hager-higham,cg,,427113.9645837782,,5.670377031899989,True,,False,True,False
494,0.05,False,1,hager-higham,gmres,35.511433333401534,427113.9645837782,0.9999168572412096,0.22668044408783317,True,,True,True,True
494,0.05,False,1,hager-higham,direct,12064.484041519803,427113.9645837782,0.9717534778960537,0.2695504450239241,True,,True,True,True
494,0.05,False,1,power,auto,96.50528702677363,427113.9645837782,0.9997740526064962,0.1684153131209314,True,,True,True,True
494,0.05,False,1,power,lu,261.3456161396554,427113.9645837782,0.9993881126869867,0.1661045146174729,True,,True,True,True
494,0.05,False,1,power,lsmr,25.26523192865268,427113.9645837782,0.9999408466263722,2.765365951228887,True,,True,True,True
494,0.05,False,1,power,cg,,427113.9645837782,,1.3004980687983334,True,,False,True,False
494,0.05,False,1,power,gmres,7.868450425804796,427113.9645837782,0.9999815776324863,0.8425544053316116,True,,True,True,True
494,0.05,False,1,power,direct,114.19553488544364,427113.9645837782,0.9997326345089261,1.6601604353636503,True,,True,True,True
494,0.05,False,1,oettli-prager,auto,12064.48404152036,427113.9645837782,0.9717534778960525,0.17526145093142986,True,,True,True,True
494,0.05,False,1,oettli-prager,lu,12064.48404152036,427113.9645837782,0.9717534778960525,0.16947978595271707,True,,True,True,True
494,0.05,False,1,oettli-prager,lsmr,600.7601711246913,427113.9645837782,0.9985934429193619,1.5170598542317748,True,,True,True,True
494,0.05,False,1,oettli-prager,cg,1.5870067172736156e+18,427113.9645837782,3715651673481.8633,0.7470176573842764,True,,True,True,True
494,0.05,False,1,oettli-prager,gmres,42.52374795026667,427113.9645837782,0.9999004393406061,0.6563414339907467,True,,True,True,True
